title,lead,director,genre,revenue,budget,profit_ratio,director_average_profit_ratio,lead_average_profit_ratio,lead_worked_in_genre_count,director_worked_in_genre_count,director_worked_with_lead_count
The Adventures of Robin Hood,167,199,4,3981000,2033000,1.958189867,2.479094934,1.958189867,1,1,1
Dil Chahta Hai,800,873,6,4099000,2079000,1.971620972,1.971620972,1.971620972,1,1,1
The Best Years of Our Lives,282,235,6,23650000,2100000,11.26190476,8.261824746,11.26190476,1,2,1
Wabash Avenue,1296,759,16,2039000,2115000,0.964066194,4.872276999,0.964066194,1,1,1
Marnie,221,194,7,7000000,2135161,3.278441298,4.387423689,2.652499986,1,3,2
Shaft in Africa,496,394,2,1458000,2142000,0.680672269,2.574465933,1.855538384,2,2,1
The Valley of Decision,870,954,6,9132000,2160000,4.227777778,4.227777778,4.227777778,1,1,1
A Clockwork Orange,194,198,8,26589000,2200000,12.08590909,4.712040708,6.258496922,1,2,1
Friday the 13th: A New Beginning,293,333,10,21930418,2200000,9.968371818,9.968371818,9.968371818,1,1,1
Straw Dogs,72,762,7,3251794,2200000,1.478088182,1.772920064,5.482046743,1,1,1
Sabrina,164,195,3,10000000,2238813,4.466652641,4.325382025,2.800036847,1,4,1
Breaking Away,128,508,6,20000000,2300000,8.695652174,5.666183948,3.139474424,4,1,1
Midnight Express,472,237,6,35000000,2300000,15.2173913,3.407028696,15.2173913,1,3,1
Show Boat,762,769,16,11000000,2300000,4.782608696,3.017333979,4.782608696,1,1,1
Jaane Tu... Ya Jaane Na,1271,1476,6,11100000,2300000,4.826086957,4.826086957,4.826086957,1,1,1
Bathing Beauty,1107,769,3,6892000,2361000,2.919102075,3.017333979,2.919102075,1,1,1
This Is England,915,1001,6,8176544,2380000,3.435522689,3.435522689,3.435522689,1,1,1
Get on the Bus,179,51,6,5731103,2400000,2.387959583,1.71770608,2.387959583,1,8,1
Missing in Action 2: The Beginning,498,553,4,10755447,2410000,4.462841079,4.462841079,2.522912795,4,1,1
Vertigo,160,194,11,28000000,2479000,11.29487697,4.387423689,6.142540121,1,3,2
Before Sunrise,62,71,6,5535405,2500000,2.214162,2.914270055,1.86300326,2,3,3
Breakfast at Tiffany's,159,193,3,9500000,2500000,3.8,2.60813014,3.305986191,1,5,1
To Catch a Thief,161,194,7,8750000,2500000,3.5,4.387423689,3.395799,1,3,2
This Is Spinal Tap,214,7,3,4736202,2500000,1.8944808,2.72576091,1.8944808,1,7,1
The Birds,221,194,10,11403529,2500000,4.5614116,4.387423689,2.652499986,1,1,2
Halloween II,296,337,10,25533818,2500000,10.2135272,6.555411869,4.155002077,4,2,2
Halloween III: Season of the Witch,297,338,10,14400000,2500000,5.76,5.76,5.76,1,1,1
The Man Who Knew Too Much,160,194,2,10250000,2500000,4.1,4.387423689,6.142540121,1,1,2
Escape from the Planet of the Apes,387,427,4,12348905,2500000,4.939562,4.419660044,4.939562,1,2,1
Drugstore Cowboy,274,23,7,4729352,2500000,1.8917408,1.720837641,2.217738375,2,1,1
Hud,212,488,4,10000000,2500000,4.0,1.77505014,3.539738743,5,2,2
The Hollywood Knights,486,542,3,10000000,2500000,4.0,4.0,4.0,1,1,1
