id,lead
1,Tom Hanks
2,Robin Williams
3,Whitney Houston
4,Al Pacino
5,Jean-Claude Van Damme
6,Pierce Brosnan
7,Michael Douglas
8,Anthony Hopkins
9,Geena Davis
10,Robert De Niro
11,Kate Winslet
12,Tim Roth
13,Jim Carrey
14,Wesley Snipes
15,John Travolta
16,Sylvester Stallone
17,Nicolas Cage
18,Christina Ricci
19,Bruce Willis
20,Christine Cavanaugh
21,Susan Sarandon
22,Christopher Lambert
23,Nicole Kidman
24,Winona Ryder
25,Brad Pitt
26,Irene Bedard
27,Stephen Baldwin
28,Woody Allen
29,Ice Cube
30,George Clooney
31,William Baldwin
32,Rick Moranis
33,Peter Weller
34,Jeff Bridges
35,Johnny Depp
36,Julia Roberts
37,Eddie Murphy
38,Adam Sandler
39,Meryl Streep
40,Mel Gibson
41,Andy García
42,Ben Stiller
43,David Caruso
44,Will Smith
45,Liam Neeson
46,Harvey Keitel
47,Laura Linney
48,Denzel Washington
49,Antonio Banderas
50,Sean Connery
51,Jonny Lee Miller
52,Keanu Reeves
53,Jason Lee
54,Amy Jo Johnson
55,Sandra Bullock
56,Demi Moore
57,Elizabeth Berkley
58,Natasha Henstridge
59,Ralph Fiennes
60,Daryl Hannah
61,Steven Seagal
62,Ethan Hawke
63,Whoopi Goldberg
64,Jeff Goldblum
65,Melanie Lynskey
66,Sinbad
67,Nick Nolte
68,Arnold Schwarzenegger
69,Jessica Lange
70,Jodie Foster
71,Woody Harrelson
72,Dustin Hoffman
73,Marisa Tomei
74,Sharon Stone
75,Marcello Mastroianni
76,Michelle Nicastro
77,Kurt Russell
78,Tim Allen
79,Tim Robbins
80,Lori Petty
81,Patrick Stewart
82,Clarence Williams III
83,Toni Collette
84,Hugh Grant
85,Harrison Ford
86,Brandon Lee
87,John Goodman
88,Heather Langenkamp
89,Leslie Nielsen
90,Kevin Costner
91,Keenen Ivory Wayans
92,Allen Payne
93,Sam Neill
94,Daniel Day-Lewis
95,Kevin Bacon
96,Jason Priestley
97,Jason London
98,Michael J. Fox
99,Tom Cruise
100,Jason James Richter
101,Jason Patric
102,Charlie Sheen
103,Clint Eastwood
104,Tyrin Turner
105,Pat Morita
106,Ray Liotta
107,Janet Jackson
108,Denis Leary
109,Danny DeVito
110,Robert John Burke
111,Cary Elwes
112,Gary Oldman
113,Sean Astin
114,Kathleen Turner
115,Alec Baldwin
116,Mike Myers
117,Bob Hoskins
118,Ice-T
119,Danny Elfman
120,Christian Slater
121,Macaulay Culkin
122,Paige O'Hara
123,William H. Macy
124,Bruce Ramsay
125,Phil Harris
126,Richard Gere
127,Theresa Randle
128,Dennis Quaid
129,Miriam Margolyes
130,Cher
131,Michael Jordan
132,Jane Fonda
133,Shirley MacLaine
134,Joey Lawrence
135,Elijah Wood
136,Juliette Binoche
137,Robin Tunney
138,Fred Williamson
139,Billy Zane
140,Ewan McGregor
141,Chris Cooper
142,Edward Burns
143,Matthew McConaughey
144,Laurence Fishburne
145,Jerry O'Connell
146,Goldie Hawn
147,Mara Wilson
148,Gwyneth Paltrow
149,Vincent Pérez
150,Dennis Miller
151,Alison Elliott
152,Jeffrey Wright
153,Jennifer Tilly
154,Penelope Ann Miller
155,Marlon Brando
156,Damon Wayans
157,Donald Pleasence
158,Gene Kelly
159,Audrey Hepburn
160,James Stewart
161,Cary Grant
162,Jack Lemmon
163,Marilyn Monroe
164,Humphrey Bogart
165,Judy Garland
166,Keir Dullea
167,Errol Flynn
168,Elizabeth Taylor
169,David Niven
170,Jada Pinkett Smith
171,Chris O'Donnell
172,Kirk Douglas
173,Leon Robinson
174,Sebastian Cabot
175,Angela Lansbury
176,Mickey Rooney
177,Jeff Fahey
178,Timothy Spall
179,Ossie Davis
180,Leonardo DiCaprio
181,Gene Wilder
182,John Cleese
183,Graham Chapman
184,Andrew McCarthy
185,Val Kilmer
186,Christopher Walken
187,Peter Sellers
188,Phoebe Cates
189,Ed Harris
190,Mariel Hemingway
191,Paul Mercurio
192,Sigourney Weaver
193,Peter O'Toole
194,Malcolm McDowell
195,Martin Sheen
196,Tom Skerritt
197,Dan Aykroyd
198,Matthew Modine
199,F. Murray Abraham
200,Fred Ward
201,Matthew Broderick
202,John Turturro
203,William Holden
204,Jack Nicholson
205,Wil Wheaton
206,Bruce Campbell
207,Steve McQueen
208,Bill Murray
209,Frank Sinatra
210,Kathy Bates
211,George C. Scott
212,Paul Newman
213,Charlton Heston
214,Christopher Guest
215,Ben Kingsley
216,Maggie Smith
217,Christine Hargreaves
218,Sam Waterston
219,Meg Ryan
220,David Naughton
221,Tippi Hedren
222,Virginia Madsen
223,Charles Berling
224,Glenn Close
225,William Shatner
226,Michael Keaton
227,Emilio Estevez
228,Maxwell Caulfield
229,Roy Scheider
230,Diane Keaton
231,David Arquette
232,Madonna
233,Chevy Chase
234,Bill Pullman
235,Ving Rhames
236,Indira Varma
237,Howard Stern
238,Jennifer Lopez
239,Scott Bakula
240,Johnny Yong Bosch
241,Tate Donovan
242,Martin Short
243,Michael Jai White
244,Kevin Zegers
245,Jennifer Aniston
246,Shaquille O'Neal
247,Mira Sorvino
248,Samuel L. Jackson
249,Kevin Spacey
250,Morgan Freeman
251,Andrew Divoff
252,Sean Penn
253,Kevin Kline
254,Jennifer Love Hewitt
255,David Duchovny
256,Rowan Atkinson
257,Matt Damon
258,Mark Wahlberg
259,Ming-Na Wen
260,Robin Shou
261,Alex D. Linz
262,John Cusack
263,Nathan Lane
264,Ian Holm
265,Robert Redford
266,Pam Grier
267,Tenzin Thuthob Tsarong
268,Rufus Sewell
269,Dave Chappelle
270,Victoria Beckham
271,Treat Williams
272,Chow Yun-fat
273,Tommy Lee Jones
274,Matt Dillon
275,Paul Walker
276,Steve Martin
277,Michael Madsen
278,Robert Duvall
279,Jessalyn Gilsig
280,Warren Beatty
281,Gregory Smith
282,Fredric March
283,Betty Hutton
284,Natalie Wood
285,Paul Scofield
286,Ron Moody
287,Ben Cross
288,John Lone
289,David Bowie
290,Robert Englund
291,Dana Kimmell
292,Kimberly Beck
293,Melanie Kinnaman
294,Thom Mathews
295,Kane Hodder
296,Jamie Lee Curtis
297,Tom Atkins
298,Catherine Hicks
299,Alex Vincent
300,Justin Whalin
301,Craig T. Nelson
302,Linda Blair
303,Zach Galligan
304,Kyle MacLachlan
305,Willem Dafoe
306,James Marsden
307,Jay Mohr
308,Grant Bardsley
309,Maximilian Schell
310,Keith Coogan
311,Barrie Ingham
312,Bette Midler
313,Mia Farrow
314,Omar Sharif
315,Isabella Rossellini
316,Jodi Benson
317,Bob Newhart
318,Fairuza Balk
319,Billy Campbell
320,Mary Costa
321,Jason Robards
322,David Andrews
323,Christopher Guard
324,Dee Wallace
325,Burt Reynolds
326,Raúl Juliá
327,Drew Barrymore
328,Burt Lancaster
329,Rex Harrison
330,Derek Jacobi
331,Jim Henson
332,Phillip Glasser
333,Molly Ringwald
334,N!xau
335,Angela Bassett
336,Barret Oliver
337,Jonathan Brandis
338,Amy Brenneman
339,Jon Finch
340,Frederick Stafford
341,Ryan Phillippe
342,Warwick Davis
343,Ashley Judd
344,William Hurt
345,Michelle Pfeiffer
346,Jackie Chan
347,Alicia Witt
348,Debra Winger
349,Will Ferrell
350,Mel Brooks
351,Joe Pesci
352,Ed Gale
353,Jane Adams
354,Deborah Harry
355,Edward Norton
356,Holly Hunter
357,Ian McKellen
358,Cate Blanchett
359,Jon Voight
360,Roger Moore
361,James Cromwell
362,Jerry Springer
363,Jon Favreau
364,Vince Vaughn
365,Jason Schwartzman
366,Joseph Fiennes
367,Dudley Moore
368,Don Ameche
369,Eileen Brennan
370,Ralph Macchio
371,Jordana Brewster
372,Gillian Anderson
373,Lea Thompson
374,John Candy
375,Dennis Hopper
376,Freddie Prinze Jr.
377,Sarah Michelle Gellar
378,Brendan Fraser
379,Jeff Daniels
380,Rose McGowan
381,Ron Livingston
382,Ben Affleck
383,Dale Midkiff
384,Edward Furlong
385,Michael York
386,James Franciscus
387,Roddy McDowall
388,Alain Delon
389,Emily Bergl
390,Jeremy Irons
391,Miranda Richardson
392,Deborah Kerr
393,Claire Danes
394,Heath Ledger
395,Sarah Polley
396,Jennifer Jason Leigh
397,Devon Sawa
398,Catherine Mary Stewart
399,Christopher Reeve
400,Gene Hackman
401,Craig Bierko
402,Mary Elizabeth Mastrantonio
403,Carlo Cecchi
404,Steve Whitmire
405,Omar Epps
406,Kirsten Dunst
407,Thomas Jane
408,Ryan O'Neal
409,Eli Marienthal
410,Giuseppe Andrews
411,Tom Everett Scott
412,Helen Mirren
413,Cuba Gooding Jr.
414,Shawn Hatosy
415,Patricia Arquette
416,Howard Rollins
417,Martin Lawrence
418,Chris Sarandon
419,Nigel Terry
420,Oliver Reed
421,Melissa Joan Hart
422,Russell Crowe
423,Timothy Hutton
424,Jason Beghe
425,Anthony Perkins
426,Terence Stamp
427,Rossano Brazzi
428,Lee Marvin
429,Brooke Shields
430,Tom Berenger
431,Nia Long
432,Timothy Dalton
433,Geoffrey Rush
434,Hal Holbrook
435,George Kennedy
436,Brian Bedford
437,Eddie Albert
438,Martin Balsam
439,Rob Schneider
440,Tobey Maguire
441,Julianne Moore
442,James Spader
443,Kevin Conroy
444,Annabella Sciorra
445,Sheryl Lee
446,Kristy Swanson
447,Bridget Fonda
448,Jim Cummings
449,Giovanni Ribisi
450,Vin Diesel
451,Brian Hooks
452,Gary Sinise
453,Kim Basinger
454,Danny Aiello
455,Spike Lee
456,Charles Bronson
457,Vanilla Ice
458,Judith Hoag
459,Paige Turco
460,Patrick Swayze
461,Stephen Lang
462,Faye Dunaway
463,Spencer Tracy
464,Jet Li
465,Jodi Lyn O'Keefe
466,Richard Dreyfuss
467,Lou Diamond Phillips
468,Corey Haim
469,Kenneth Branagh
470,Joshua Jackson
471,John Wayne
472,Brad Davis
473,James Caan
474,Billy Crystal
475,Sally Field
476,Robert Downey Jr.
477,Christian Bale
478,Om Puri
479,"Chris Warren, Jr."
480,James Woods
481,Mark Addy
482,Natalie Portman
483,Amanda Schull
484,Paul Reubens
485,Breckin Meyer
486,Robert Wuhl
487,George Lazenby
488,Gregory Peck
489,John Ritter
490,Kiefer Sutherland
491,Dan Monahan
492,Kevin Peter Hall
493,Mickey Rourke
494,David Keith
495,Carl Weathers
496,Richard Roundtree
497,Rene Russo
498,Chuck Norris
499,Christopher Reid
500,Carmen Electra
501,Jennifer Jones
502,Susan Ward
503,Patrick Wayne
504,Piper Perabo
505,Brenda Blethyn
506,James Le Gros
507,Lance Henriksen
508,Alan Ladd
509,Benicio del Toro
510,Kate Hudson
511,Jennifer Morrison
512,Björk
513,Clare Higgins
514,Kevin Bernhardt
515,Stephen Boyd
516,Ellen Burstyn
517,Tim Meadows
518,Elizabeth Hurley
519,Richard E. Grant
520,Cameron Diaz
521,Judd Nelson
522,Eric Bogosian
523,Richard Pryor
524,Ashton Kutcher
525,Helen Hunt
526,Gerard Butler
527,John Malkovich
528,Aileen Quinn
529,Christina Applegate
530,Julia Stiles
531,Marla Sokoloff
532,Jim Varney
533,Lorraine Gary
534,Dolph Lundgren
535,Andre Gower
536,Monica Potter
537,Jason Biggs
538,Rickey D'Shon Collins
539,Max von Sydow
540,William Petersen
541,Peter Ustinov
542,Jude Law
543,Guy Pearce
544,Alexa PenaVega
545,Renée Zellweger
546,David Spade
547,Paul Hogan
548,Kip Pardue
549,Ken Marshall
550,Alan Arkin
551,Tyrese Gibson
552,Anna Faris
553,Clark Gable
554,Taimak
555,Reese Witherspoon
556,John Neville
557,Jennifer Rubin
558,Kevin Dillon
559,Scott Grimes
560,Bobcat Goldthwait
561,Amanda Donohoe
562,Gabriel Damon
563,Pamela Gidley
564,James Karen
565,Clu Gulager
566,Tom Burlinson
567,Roddy Piper
568,Nigel Havers
569,Jim Belushi
570,Anthony Edwards
571,Hulk Hogan
572,Michael Murphy
573,Fred Savage
574,Angelina Jolie
575,Anne Hathaway
576,Chris Tucker
577,Chris Rock
578,Colin Farrell
579,Kevin Smith
580,Gina Philips
581,Catherine Deneuve
582,Leelee Sobieski
583,Mariah Carey
584,Glenn Ford
585,Kate Capshaw
586,Steve Zahn
587,Sissy Spacek
588,Chris Kattan
589,Naomi Watts
590,Snoop Dogg
591,Chaim Topol
592,Jake Gyllenhaal
593,Dr. Dre
594,Chelcie Ross
595,Barbra Streisand
596,Michael Caine
597,Sam J. Jones
598,Owen Wilson
599,Chyler Leigh
600,Tanya Roberts
601,Peter Strauss
602,Method Man
603,Debi Derryberry
604,Tyrone Power
605,Josh Hartnett
606,Halle Berry
607,Peter MacNicol
608,Dorothy Stratten
609,Jason Scott Lee
610,Jim Caviezel
611,Mandy Moore
612,Ted Danson
613,Jason Segel
614,Frankie Muniz
615,Joe Mantegna
616,Britney Spears
617,Harriet Owen
618,Jay Chandrasekhar
619,Stuart Townsend
620,Walter Matthau
621,David Carradine
622,Ray Romano
623,Milla Jovovich
624,Jesse Bradford
625,Ryan Reynolds
626,Bill Paxton
627,Dwayne Johnson
628,Steven Bauer
629,Laura Dern
630,Klaus Maria Brandauer
631,Eddie Griffin
632,John Lithgow
633,Chris Sanders
634,Cathy Cavadini
635,Kate Bosworth
636,Matthew Perry
637,Laurence Olivier
638,Albert Finney
639,Stephen Dorff
640,Jason Statham
641,Kieran Culkin
642,Ariana Richards
643,Charlize Theron
644,Sanaa Lathan
645,Barry Pepper
646,Alexis Bledel
647,Michael Moore
648,Katie Holmes
649,Greg Kinnear
650,Olivia Newton-John
651,John Savage
652,Andy Kaufman
653,Christopher Lloyd
654,John Belushi
655,Sylvia Kristel
656,Gabriel Byrne
657,Johnny Knoxville
658,Salma Hayek
659,Rebecca Romijn
660,Eminem
661,Paul Gross
662,Stephen Lack
663,Elvis Presley
664,Lee Horsley
665,Stanley Baker
666,John Leguizamo
667,Jack Palance
668,Nick Cannon
669,Derek Luke
670,Catherine Zeta-Jones
671,Adrien Brody
672,Sam Rockwell
673,Ali Larter
674,Kelly Reno
675,Luke Wilson
676,Jeffrey Hunter
677,Richard Burton
678,Aaron Eckhart
679,Sid Haig
680,Bob Balaban
681,Arthur Hill
682,Christopher Gorham
683,Diana Ross
684,Hilary Duff
685,Desmond Harrington
686,Keisha Castle-Hughes
687,Mimi Rogers
688,Kelly Clarkson
689,Stewart Granger
690,Charlotte Rampling
691,James Cagney
692,Robert Stephens
693,Brittany Murphy
694,Ally Sheedy
695,Barbara Parkins
696,Scott Glenn
697,Lisa Kudrow
698,Ray Wise
699,Kris Kristofferson
700,Lori Cardille
701,Beyoncé Knowles
702,Kate Beckinsale
703,Diane Lane
704,Luke Kirby
705,Charles Grodin
706,Jeremy Piven
707,Forest Whitaker
708,Candy Clark
709,Robert Blake
710,Jack Black
711,Jonathan Cherry
712,Uma Thurman
713,Jessica Biel
714,Pamela Anderson
715,Alex Frost
716,Hayden Christensen
717,Keira Knightley
718,Billy Bob Thornton
719,Ramon Novarro
720,Donald Sutherland
721,Michael Paré
722,Judy Davis
723,Patrick Dempsey
724,Jessica Alba
725,Jennifer Connelly
726,Neve Campbell
727,Martin Henderson
728,David Johansen
729,Mark Dacascos
730,Andrew Dice Clay
731,Josh Duhamel
732,Kristen Stewart
733,Michael Pitt
734,Lindsay Lohan
735,Scott Mechlowicz
736,Kevin Heffernan
737,Diego Luna
738,Emile Hirsch
739,DMX
740,Ron Perlman
741,Cedric the Entertainer
742,Stuart Whitman
743,Griffin Dunne
744,Nia Vardalos
745,Jennifer Garner
746,Craig Wasson
747,Carol Burnett
748,Michael Beck
749,Rod Steiger
750,James Coburn
751,Craig Sheffer
752,Dirk Bogarde
753,Jeffrey Combs
754,Melanie Griffith
755,Patricia Tallman
756,Prince
757,Tom Arnold
758,Anne Reid
759,LL Cool J
760,Julie Andrews
761,C. Thomas Howell
762,Howard Keel
763,Shawn Wayans
764,Rachel McAdams
765,Maï Anh Le
766,Lance Guest
767,Carroll Baker
768,Tami Erin
769,Brady Corbet
770,Bryce Dallas Howard
771,Zach Braff
772,John Cho
773,Mark Ruffalo
774,Seth Green
775,Stellan Skarsgård
776,Johnny Messner
777,Carrie-Anne Moss
778,Cole Hauser
779,Chris Evans
780,Bernie Mac
781,Tracey Ullman
782,Simon Pegg
783,Richard Harris
784,Gérard Depardieu
785,Joaquin Phoenix
786,Queen Latifah
787,Trey Parker
788,Paul Giamatti
789,Jamie Foxx
790,Brad Dourif
791,Tom Kenny
792,Jerry Lewis
793,D. B. Sweeney
794,Trevor Howard
795,Robert Mitchum
796,Peter Falk
797,Albert Brooks
798,Ed O'Neill
799,Jacob Tierney
800,Aamir Khan
801,Daniel Craig
802,Christopher Plummer
803,Jeff Clark
804,Don Cheadle
805,Ben Lyon
806,Emily Deschanel
807,Debra Messing
808,Robert Patrick
809,Hedy Lamarr
810,Portia de Rossi
811,Michael Crawford
812,Michelle Trachtenberg
813,Kimberly Elise
814,Charles Coburn
815,Martin Freeman
816,Elisha Cuthbert
817,Shane McDermott
818,Amber Tamblyn
819,Taylor Lautner
820,Robert Taylor
821,Simon Baker
822,Jill Clayburgh
823,Terrence Howard
824,Michael Angarano
825,Nathan Fillion
826,Benjamin Bratt
827,Steve Carell
