title,lead,director,genre,revenue,budget,profit_ratio,director_average_profit_ratio,lead_average_profit_ratio,lead_worked_in_genre_count,director_worked_in_genre_count,director_worked_with_lead_count
Toy Story,1,1,1,373554033.0,30000000.0,12.4518011,12.4518011,4.655450037545514,1,1,1.0
Jumanji,2,2,2,262797249.0,65000000.0,4.0430346,3.390212454395802,3.851135807604365,2,3,1.0
Waiting to Exhale,3,3,3,81452156.0,16000000.0,5.09075975,5.09075975,3.4252894821428574,1,1,1.0
Heat,4,4,4,187436818.0,60000000.0,3.123946966666667,1.6433304689026251,2.77357352398917,3,2,2.0
Sudden Death,5,5,4,64350171.0,35000000.0,1.8385763142857143,1.2474180869725529,2.4672083983288373,8,2,2.0
GoldenEye,6,6,2,352194034.0,58000000.0,6.072310931034483,2.5307298922411277,2.2843342853008446,1,1,1.0
The American President,7,7,3,107879496.0,62000000.0,1.739991870967742,2.725760910294222,2.582920902593713,3,7,2.0
Nixon,8,8,5,13681765.0,44000000.0,0.31094920454545455,2.411277523714331,2.0778797116921046,1,1,1.0
Cutthroat Island,9,9,4,10017322.0,98000000.0,0.10221757142857144,2.02427800787436,1.6896375332417584,1,10,2.0
Casino,10,10,6,116112375.0,52000000.0,2.2329302884615383,2.209111404155471,2.00568133736033,8,10,4.0
Sense and Sensibility,11,11,6,135000000.0,16500000.0,8.181818181818182,5.529765806565656,2.985031689118843,3,4,1.0
Four Rooms,12,12,7,4300000.0,4000000.0,1.075,1.075,1.075,1,1,1.0
Ace Ventura: When Nature Calls,13,13,7,212385533.0,30000000.0,7.079517766666667,4.253278491176471,3.5054494142639347,1,1,1.0
Money Train,14,14,4,35431113.0,60000000.0,0.59051855,3.803874835826699,2.0427800601567885,3,1,1.0
Get Shorty,15,15,3,115101622.0,30250000.0,3.805012297520661,2.4083379512534435,1.8881239678383883,2,3,1.0
Assassins,16,16,4,30303072.0,50000000.0,0.60606144,3.6587210956645233,2.825168668471759,19,6,1.0
Leaving Las Vegas,17,17,6,49800000.0,3600000.0,13.833333333333334,6.9717288125,1.9712462512714177,6,2,1.0
Now and Then,18,18,3,27400000.0,12000000.0,2.283333333333333,2.283333333333333,3.0725826711111104,2,1,1.0
Twelve Monkeys,19,19,8,168840000.0,29500000.0,5.7233898305084745,2.862096041621584,2.4501322054249046,2,1,1.0
Babe,20,20,9,254134910.0,30000000.0,8.471163666666667,4.820219183333334,8.471163666666667,1,1,1.0
Dead Man Walking,21,21,6,39363635.0,11000000.0,3.5785122727272727,3.5785122727272727,2.234355698482653,4,1,1.0
Mortal Kombat,22,22,4,122195920.0,18000000.0,6.788662222222222,3.290114347475746,1.7612464082122508,5,6,1.0
To Die For,23,23,9,21284514.0,20000000.0,1.0642257,1.7208376407530452,1.5337958234930715,1,1,1.0
How To Make An American Quilt,24,24,6,23574130.0,10000000.0,2.357413,1.9473569610226322,1.5598108757763975,2,2,1.0
Se7en,25,25,7,327311859.0,33000000.0,9.918541181818181,4.06239909492541,2.949390394173641,2,3,1.0
Pocahontas,26,26,2,346079773.0,55000000.0,6.292359509090909,6.292359509090909,6.292359509090909,1,1,1.0
The Usual Suspects,27,27,6,23341568.0,6000000.0,3.890261333333333,3.503933897777778,3.890261333333333,1,2,1.0
Mighty Aphrodite,28,28,3,6700000.0,15000000.0,0.44666666666666666,3.4662135136385013,2.942049478547133,9,13,11.0
Friday,29,29,3,28215918.0,3500000.0,8.061690857142857,3.64108586929395,4.0083188748591265,6,2,1.0
From Dusk Till Dawn,30,30,10,25836616.0,19000000.0,1.3598218947368421,2.5925599363298217,2.809310332910055,1,2,1.0
Fair Game,31,31,4,11534477.0,50000000.0,0.23068954,0.23068954,0.23068954,1,1,1.0
Big Bully,32,32,3,2042530.0,15000000.0,0.13616866666666666,3.6631865851034857,2.528199035416667,1,1,1.0
Screamers,33,33,10,5781885.0,20000000.0,0.28909425,0.4393529166666667,1.5748445645879119,1,1,1.0
White Squall,34,34,4,10300000.0,38000000.0,0.2710526315789474,2.0460126387905593,2.4568092324668434,4,6,1.0
Nick of Time,35,35,7,8175346.0,8169363.0,1.000732370443081,3.1849018532790065,1.5617758065503715,4,1,1.0
Mary Reilly,36,36,6,12379402.0,47000000.0,0.2633915319148936,3.2820069357508177,4.279037152085099,6,5,1.0
Vampire in Brooklyn,37,37,3,19800000.0,14000000.0,1.4142857142857144,3.2462260440912023,2.8424076807377565,11,1,1.0
Broken Arrow,15,38,4,150270147.0,50000000.0,3.00540294,2.950625088472222,1.8881239678383883,6,4,2.0
Happy Gilmore,38,39,3,41205099.0,12000000.0,3.43375825,2.9632485769850896,2.958594094043493,18,8,8.0
The Bridges of Madison County,39,40,6,182016617.0,24000000.0,7.584025708333333,3.849782014352873,3.6047136756018787,7,9,1.0
Braveheart,40,41,4,210000000.0,72000000.0,2.9166666666666665,3.434535922222222,3.483326751561217,7,2,1.0
Steal Big Steal Little,41,42,3,6278139.0,25000000.0,0.25112556,2.583754567394958,0.5973336066666667,1,1,1.0
Boomerang,37,43,3,70100000.0,40000000.0,1.7525,3.3653832040229883,2.8424076807377565,11,4,1.0
Flirting with Disaster,42,44,3,14702438.0,7000000.0,2.100348285714286,4.174495514960317,2.03678922769111,10,1,1.0
Jade,43,45,4,9851610.0,50000000.0,0.1970322,0.8215914146464646,0.1970322,1,3,1.0
The Birdcage,2,46,3,185260553.0,31000000.0,5.976146870967742,3.2209980458809486,3.851135807604365,11,5,1.0
Bad Boys,44,47,4,141407024.0,19000000.0,7.442474947368421,4.186303900175439,3.9960188891536452,2,3,1.0
Apollo 13,1,48,6,355237933.0,52000000.0,6.831498711538462,3.465318600617449,4.655450037545514,3,3,3.0
Rob Roy,45,49,2,31596911.0,28000000.0,1.1284611071428572,1.2241658336309527,4.34228698045841,1,1,1.0
Casper,18,50,9,287928194.0,50000000.0,5.75856388,3.2825790549494944,3.0725826711111104,1,1,1.0
Clockers,46,51,11,13071518.0,25000000.0,0.52286072,1.7177060798697596,0.9873016970007106,1,1,1.0
Congo,47,52,4,152022101.0,50000000.0,3.04044202,2.2290423573689515,5.315391220526315,1,2,1.0
Crimson Tide,48,53,4,157387195.0,53000000.0,2.969569716981132,3.0036939879581808,2.1880721370462943,8,9,3.0
Desperado,49,30,12,25405445.0,7000000.0,3.6293492857142855,2.5925599363298217,2.2673712680604097,1,1,4.0
Devil in a Blue Dress,48,54,6,16140822.0,27000000.0,0.5978082222222222,1.0754446686772487,2.1880721370462943,14,2,2.0
Die Hard: With a Vengeance,19,55,4,366101666.0,90000000.0,4.067796288888889,3.7505103664775916,2.4501322054249046,16,4,2.0
First Knight,50,56,4,127600435.0,55000000.0,2.320007909090909,2.124792085437711,3.997717463272835,3,1,1.0
Hackers,51,57,4,7563728.0,20000000.0,0.3781864,1.1308851597868217,0.3781864,1,1,1.0
Johnny Mnemonic,52,58,2,19075720.0,25000000.0,0.7630288,0.7630288,2.7770370845566057,2,1,1.0
Judge Dredd,16,59,8,113493481.0,90000000.0,1.2610386777777778,0.9322727396011397,2.825168668471759,1,1,1.0
Mallrats,53,60,13,2122561.0,6000000.0,0.35376016666666665,1.7666300493386242,2.9543545,1,1,1.0
Mighty Morphin Power Rangers: The Movie,54,61,4,66000000.0,15000000.0,4.4,2.651588928571429,4.4,1,1,1.0
The Net,55,62,7,110627965.0,22000000.0,5.028543863636363,5.028543863636363,4.648968251892304,2,1,1.0
The Scarlet Letter,56,63,6,10382407.0,50000000.0,0.20764814,0.8037067185039793,0.9445513675,2,2,1.0
Showgirls,57,64,6,20350754.0,45000000.0,0.4522389777777778,3.550856213058654,0.4522389777777778,1,1,1.0
Smoke,46,65,3,8349430.0,7000000.0,1.1927757142857143,1.8321368269402092,0.9873016970007106,1,3,1.0
Species,58,66,8,113374103.0,35000000.0,3.2392600857142857,2.6370977901383053,1.8698234714285715,1,1,1.0
Strange Days,59,67,7,7959291.0,42000000.0,0.18950692857142856,2.447630769642857,3.1967392191741433,1,1,1.0
The Tie That Binds,60,68,12,5780000.0,14000000.0,0.41285714285714287,0.41285714285714287,0.41285714285714287,1,1,1.0
Under Siege 2: Dark Territory,61,69,4,104324083.0,60000000.0,1.7387347166666667,1.7387347166666667,2.5539541393121694,9,1,1.0
A Walk in the Clouds,52,70,6,50012507.0,20000000.0,2.50062535,2.50062535,2.7770370845566057,6,1,1.0
Before Sunrise,62,71,6,5535405.0,2500000.0,2.214162,2.91427005524932,1.863003259688973,2,3,3.0
Billy Madison,38,72,3,26488734.0,10000000.0,2.6488734,3.308820577777778,2.958594094043493,18,2,1.0
Boys on the Side,63,73,3,23450000.0,21000000.0,1.1166666666666667,5.135924558527346,4.639743880860214,1,2,1.0
Don Juan DeMarco,35,74,13,22200000.0,25000000.0,0.888,0.888,1.5617758065503715,3,1,1.0
Disclosure,7,75,6,214015089.0,55000000.0,3.891183436363636,2.5843410471153088,2.582920902593713,4,3,1.0
Ed Wood,35,76,3,5887457.0,18000000.0,0.32708094444444447,2.832377781704407,1.5617758065503715,3,2,4.0
Hideaway,64,77,6,12201255.0,15000000.0,0.813417,1.6083723333333335,2.0274679852655613,1,1,1.0
Heavenly Creatures,65,78,6,3049135.0,5000000.0,0.609827,1.0091075675213677,0.609827,1,1,1.0
Houseguest,66,79,3,26325256.0,10500000.0,2.507167238095238,1.657642419047619,2.507167238095238,1,2,1.0
Interview with the Vampire,25,80,10,223664608.0,60000000.0,3.7277434666666664,1.1871636812629398,2.949390394173641,1,1,1.0
Jefferson in Paris,67,81,6,2474000.0,14000000.0,0.1767142857142857,2.327586523647774,2.6882548258503403,3,4,1.0
Junior,68,82,3,37000000.0,60000000.0,0.6166666666666667,6.335039089826255,4.266287761831662,3,6,3.0
Legends of the Fall,25,83,2,160638883.0,30000000.0,5.354629433333334,2.3408064470548258,2.949390394173641,2,1,1.0
Losing Isaiah,69,84,6,7603766.0,17000000.0,0.44728035294117646,0.44728035294117646,0.44728035294117646,1,1,1.0
Mary Shelley's Frankenstein,10,85,6,112006296.0,45000000.0,2.4890288,1.6657569583333331,2.00568133736033,8,1,1.0
Nell,70,86,6,106683817.0,31000000.0,3.4414134516129034,2.4352066966751558,4.80791785414008,2,4,1.0
Natural Born Killers,71,8,7,50282766.0,34000000.0,1.4789048823529412,2.411277523714331,0.8411730793845316,1,3,1.0
Outbreak,72,87,4,189859560.0,50000000.0,3.7971912,2.2512132223600383,5.482046742668442,1,3,1.0
The Perez Family,73,88,3,2832826.0,11000000.0,0.25752963636363635,0.8631847241161617,0.25752963636363635,1,1,1.0
The Quick and the Dead,74,89,4,18552460.0,32000000.0,0.579764375,1.9015709366666667,1.3463713535714286,1,2,1.0
Prêt-à-Porter,75,90,6,11300653.0,15000000.0,0.7533768666666667,1.8285643965151515,0.7533768666666667,1,3,1.0
The Swan Princess,76,91,1,9771658.0,35000000.0,0.27919022857142856,0.37959511428571424,0.27919022857142856,1,2,1.0
The Specialist,16,92,4,170362582.0,45000000.0,3.7858351555555556,3.4138705444444444,2.825168668471759,19,1,1.0
Stargate,77,93,4,196567262.0,55000000.0,3.5739502181818184,2.0435598924242426,1.867476349114869,12,1,1.0
The Santa Clause,78,94,9,189833357.0,22000000.0,8.628788954545454,8.628788954545454,2.880009462225691,2,1,1.0
The Shawshank Redemption,79,95,6,28341469.0,25000000.0,1.13365876,2.391825516388889,1.6285090483333333,2,2,1.0
Tank Girl,80,96,4,4064495.0,25000000.0,0.1625798,1.6663823090909091,0.1625798,1,1,1.0
Star Trek: Generations,81,97,8,120000000.0,38000000.0,3.1578947368421053,3.1578947368421053,3.407369896851186,4,1,1.0
Tales from the Hood,82,98,7,12000000.0,6000000.0,2.0,2.0,2.0,1,1,1.0
What's Eating Gilbert Grape,35,99,13,10032765.0,11000000.0,0.9120695454545454,3.8787017351859503,1.5617758065503715,3,2,1.0
Virtuosity,48,77,4,24048000.0,30000000.0,0.8016,1.6083723333333335,2.1880721370462943,8,1,1.0
While You Were Sleeping,55,100,3,182057016.0,17000000.0,10.709236235294117,6.478902258734648,4.648968251892304,6,3,1.0
Muriel's Wedding,83,101,6,15119639.0,3000000.0,5.039879666666667,5.208071387573099,5.039879666666667,1,1,1.0
Ace Ventura: Pet Detective,13,102,3,107217396.0,15000000.0,7.1478264,4.235448899111111,3.5054494142639347,10,3,2.0
Bitter Moon,84,103,12,1862805.0,5000000.0,0.372561,2.7713707115181467,1.5801004252617539,1,2,1.0
Clear and Present Danger,85,104,4,215887717.0,62000000.0,3.482059951612903,2.3177414414643716,3.6757163228353873,5,1,2.0
The Client,21,105,6,117615211.0,45000000.0,2.6136713555555557,2.457312924151294,2.234355698482653,4,3,1.0
The Crow,86,106,9,94000000.0,15000000.0,6.266666666666667,3.4610043392592593,3.8511572833333334,1,1,1.0
The Flintstones,87,107,9,341631208.0,46000000.0,7.426765391304348,2.9965345644893544,7.105382695652174,1,1,1.0
I Love Trouble,67,108,4,61947267.0,45000000.0,1.3766059333333334,0.7999357916666667,2.6882548258503403,1,1,1.0
Little Buddha,52,109,6,4858139.0,35000000.0,0.13880397142857143,0.7855607060455487,2.7770370845566057,6,3,1.0
New Nightmare,88,37,10,18090181.0,14000000.0,1.2921557857142858,3.2462260440912023,1.2921557857142858,1,7,1.0
The Naked Gun 33⅓: The Final Insult,89,110,3,51132598.0,30000000.0,1.7044199333333334,2.1041885607536917,4.015672590096618,3,5,1.0
Reality Bites,24,111,6,20079850.0,11500000.0,1.7460739130434784,1.8931040494077596,1.5598108757763975,2,1,1.0
Red Rock West,17,112,7,2000000.0,8000000.0,0.25,0.8974238122463769,1.9712462512714177,4,1,1.0
Speed,52,113,4,350448145.0,30000000.0,11.681604833333333,4.822963760891813,2.7770370845566057,5,2,1.0
Timecop,5,5,12,101646581.0,27000000.0,3.764688185185185,1.2474180869725529,2.4672083983288373,3,2,2.0
Wyatt Earp,90,114,6,25052000.0,63000000.0,0.39765079365079364,0.7555565438842203,2.3886601822748914,9,2,1.0
A Low Down Dirty Shame,91,115,4,29392418.0,10000000.0,2.9392418,5.070782719409179,1.70638526,2,1,1.0
