id,director
1,John Lasseter
2,Joe Johnston
3,Forest Whitaker
4,Michael Mann
5,Peter Hyams
6,Martin Campbell
7,Rob Reiner
8,Oliver Stone
9,Renny Harlin
10,Martin Scorsese
11,Ang Lee
12,Allison Anders
13,Steve Oedekerk
14,Joseph Ruben
15,Barry Sonnenfeld
16,Richard Donner
17,Mike Figgis
18,Lesli Linka Glatter
19,Terry Gilliam
20,Chris Noonan
21,Tim Robbins
22,Paul W.S. Anderson
23,Gus Van Sant
24,Jocelyn Moorhouse
25,David Fincher
26,Mike Gabriel
27,Bryan Singer
28,Woody Allen
29,F. Gary Gray
30,Robert Rodriguez
31,Andrew Sipes
32,Steve Miner
33,Christian Duguay
34,Ridley Scott
35,John Badham
36,Stephen Frears
37,Wes Craven
38,John Woo
39,Dennis Dugan
40,Clint Eastwood
41,Mel Gibson
42,Andrew Davis
43,Reginald Hudlin
44,David O. Russell
45,William Friedkin
46,Mike Nichols
47,Michael Bay
48,Ron Howard
49,Michael Caton-Jones
50,Brad Silberling
51,Spike Lee
52,Frank Marshall
53,Tony Scott
54,Carl Franklin
55,John McTiernan
56,Jerry Zucker
57,Iain Softley
58,Robert Longo
59,Danny Cannon
60,Kevin Smith
61,Bryan Spicer
62,Irwin Winkler
63,Roland Joffé
64,Paul Verhoeven
65,Wayne Wang
66,Roger Donaldson
67,Kathryn Bigelow
68,Wesley Strick
69,Geoff Murphy
70,Alfonso Aráu
71,Richard Linklater
72,Tamra Davis
73,Herbert Ross
74,Jeremy Leven
75,Barry Levinson
76,Tim Burton
77,Brett Leonard
78,Peter Jackson
79,Randall Miller
80,Neil Jordan
81,James Ivory
82,Ivan Reitman
83,Edward Zwick
84,Stephen Gyllenhaal
85,Kenneth Branagh
86,Michael Apted
87,Wolfgang Petersen
88,Mira Nair
89,Sam Raimi
90,Robert Altman
91,Richard Rich
92,Luis Llosa
93,Roland Emmerich
94,John Pasquin
95,Frank Darabont
96,Rachel Talalay
97,David Carson
98,Rusty Cundieff
99,Lasse Hallström
100,Jon Turteltaub
101,P.J. Hogan
102,Tom Shadyac
103,Roman Polanski
104,Phillip Noyce
105,Joel Schumacher
106,Alex Proyas
107,Brian Levant
108,Charles Shyer
109,Bernardo Bertolucci
110,Peter Segal
111,Ben Stiller
112,John Dahl
113,Jan de Bont
114,Lawrence Kasdan
115,Keenen Ivory Wayans
116,Doug McHenry
117,Steven E. de Souza
118,Andrew Morahan
119,John Carpenter
120,Paul Michael Glaser
121,John Landis
122,Robert De Niro
123,John Whitesell
124,Brian De Palma
125,Richard Rush
126,Marco Brambilla
127,Sydney Pollack
128,Simon Wincer
129,Walter Hill
130,Jim Abrahams
131,Jim Sheridan
132,Dominic Sena
133,Albert Hughes
134,Stuart Baird
135,Christopher Cain
136,Jonathan Demme
137,John Singleton
138,Ted Demme
139,Penny Marshall
140,Fred Dekker
141,Mel Brooks
142,Peter Medak
143,David Anspaugh
144,Steven Spielberg
145,John Waters
146,Russell Mulcahy
147,Nora Ephron
148,Thomas Schlamme
149,Annabel Jankel
150,Ernest R. Dickerson
151,Deran Sarafian
152,Henry Selick
153,Stephen Herek
154,George P. Cosmatos
155,Gary Trousdale
156,Joel Coen
157,Kevin Yagher
158,Wolfgang Reitherman
159,Gregory Hoblit
160,Rob Cohen
161,Paul Mazursky
162,Joe Pytka
163,Roger Vadim
164,Richard Benjamin
165,Jean-Claude Van Damme
166,George Scribner
167,Alan Shapiro
168,Jean-Paul Rappeneau
169,Andrew Fleming
170,Larry Cohen
171,David Twohy
172,Andrew Bergman
173,Francis Ford Coppola
174,Danny Boyle
175,Bobby Farrelly
176,John Sayles
177,Edward Burns
178,Kevin Hooks
179,John Payson
180,Hugh Wilson
181,Danny DeVito
182,Douglas McGrath
183,Tim Pope
184,Gilbert Adler
185,Lee David Zlotoff
186,Julian Schnabel
187,Ron Shelton
188,Lana Wachowski
189,John Frankenheimer
190,Joe Chappelle
191,Stanley Donen
192,Vincente Minnelli
193,Blake Edwards
194,Alfred Hitchcock
195,Billy Wilder
196,George Cukor
197,Victor Fleming
198,Stanley Kubrick
199,Michael Curtiz
200,George Stevens
201,Michael Anderson
202,Frank Capra
203,Richard Brooks
204,Ringo Lam
205,James Foley
206,Richard Fleischer
207,Kevin Reynolds
208,Robert Stevenson
209,Ted Berman
210,Mike Leigh
211,Stephen Hopkins
212,Baz Luhrmann
213,Mel Stuart
214,Charles Crichton
215,Terry Jones
216,Ted Kotcheff
217,Alan J. Pakula
218,Abel Ferrara
219,Miloš Forman
220,Ate de Jong
221,James Cameron
222,Eric Red
223,Anthony Minghella
224,David Lean
225,Philip Kaufman
226,Peter Weir
227,John Huston
228,John Sturges
229,Michael Cimino
230,Harold Ramis
231,Jon Avnet
232,Franklin J. Schaffner
233,Stuart Rosenberg
234,Jim Jarmusch
235,William Wyler
236,Richard Attenborough
237,Alan Parker
238,Bernard Rose
239,Jonathan Frakes
240,Patrice Leconte
241,Robert Wise
242,Nicholas Meyer
243,William Shatner
244,Leonard Nimoy
245,Patricia Birch
246,Dwight H. Little
247,Jeannot Szwarc
248,Joe Alves
249,Cameron Crowe
250,Jerry Zaks
251,Robert Butler
252,Thomas Carter
253,Stephen Kessler
254,David Lynch
255,Mike Newell
256,Betty Thomas
257,Gregory Nava
258,Mark Dindal
259,Shuki Levy
260,Jay Roach
261,Jonathan Mostow
262,Luc Besson
263,Simon West
264,Ron Clements
265,Michael Ritchie
266,Robert Zemeckis
267,John Milius
268,James Mangold
269,Mark A.Z. Dippé
270,Charles Martin Smith
271,Glenn Gordon Caron
272,Kenneth Johnson
273,Guillermo del Toro
274,Curtis Hanson
275,Jean-Jacques Annaud
276,Gary Fleder
277,Robert Kurtzman
278,Félix Enríquez Alcalá
279,Jim Gillespie
280,Taylor Hackford
281,Andy Wilson
282,Andrew Niccol
283,Jeb Stuart
284,Mel Smith
285,Costa-Gavras
286,Paul Thomas Anderson
287,Peter Howitt
288,John R. Leonetti
289,Gary Goldman
290,Jon Amiel
291,Jean-Pierre Jeunet
292,Les Mayfield
293,Raja Gosnell
294,Gore Verbinski
295,Atom Egoyan
296,Kevin Costner
297,Robert Redford
298,Quentin Tarantino
299,Alfonso Cuarón
300,Mikael Salomon
301,Bob Spiers
302,Stephen Sommers
303,Antoine Fuqua
304,Frank Coraci
305,James L. Brooks
306,John McNaughton
307,Nicholas Hytner
308,Steve Boyum
309,David Mamet
310,Jake Kasdan
311,Kirk Wong
312,Mimi Leder
313,Daisy von Scherler Mayer
314,Frederik Du Chau
315,Warren Beatty
316,Don Roos
317,Harry Elfont
318,Tony Bancroft
319,Rob Bowman
320,Steven Soderbergh
321,Joe Dante
322,Cecil B. DeMille
323,Jerome Robbins
324,Fred Zinnemann
325,Carol Reed
326,John Schlesinger
327,Robert Benton
328,Hugh Hudson
329,Jim Henson
330,Jack Sholder
331,Chuck Russell
332,Joseph Zito
333,Danny Steinmann
334,Tom McLoughlin
335,John Carl Buechler
336,Rob Hedden
337,Rick Rosenthal
338,Tommy Lee Wallace
339,Dominique Othenin-Girard
340,Tom Holland
341,John Lafia
342,Jack Bender
343,Tobe Hooper
344,Brian Gibson
345,Gary Sherman
346,John Boorman
347,David Nutter
348,Gary Nelson
349,Jeff Blyth
350,Kenny Ortega
351,Randal Kleiser
352,Hendel Butoy
353,Walter Murch
354,Clyde Geronimi
355,Jack Clayton
356,Steven Lisberger
357,Ralph S. Singleton
